"","SYMBOL","X1107H4D","Normalized_Per_Million","Normal_Mean","Normal_Mean_per_Million","Normal_Median","Normal_SD","Z_score","Foldchange","Gene_State","Potential_FP_or_FN"
"ENSG00000074935","TUBE1",78.925,16.221,202.191,40.438,186.125,82.261,-1.498,0.39,"NORMAL","0"
"ENSG00000074966","TXK",4.85,0.997,3.514,0.703,1.2,4.204,0.318,1.38,"NORMAL","-"
"ENSG00000076242","MLH1",200.8,41.27,206.175,41.23,198.875,33.161,-0.162,0.974,"NORMAL","0"
"ENSG00000077092","RARB",26.45,5.436,52.724,10.546,42.0375,23.26,-1.13,0.502,"NORMAL","0"
"ENSG00000077097","TOP2B",918.25,188.726,1075.099,215.021,1102.4,262.179,-0.598,0.854,"NORMAL","0"
"ENSG00000077782","FGFR1",1043.3,214.428,1538.464,307.7,1650.075,430.255,-1.151,0.678,"LOW","0"
"ENSG00000078018","MAP2",264.075,54.275,288.315,57.67,278.275,117.242,-0.207,0.916,"NORMAL","0"
"ENSG00000081051","AFP",0,0,12.283,2.456,1.1375,45.607,-0.269,0,"NORMAL","-"
"ENSG00000082175","PGR",108.5,22.3,1195.115,239.049,751.25,1570.872,-0.692,0.091,"LOW","0"
"ENSG00000082898","XPO1",379.225,77.941,416.288,83.258,397.9125,117.973,-0.314,0.911,"NORMAL","0"
"ENSG00000088305","DNMT3B",108.5,22.3,20.173,4.035,20.325,7.954,11.105,5.378,"HIGH","0"
"ENSG00000089250","NOS1",5.6,1.151,4.971,0.994,2.7625,5.918,0.106,1.127,"NORMAL","-"
"ENSG00000089692","LAG3",3.975,0.817,20.87,4.174,19.8375,12.37,-1.366,0.19,"NORMAL","0"
"ENSG00000091831","ESR1",457.9,94.111,587.651,117.542,200.3375,1081.162,-0.12,0.779,"NORMAL","0"
"ENSG00000094631","HDAC6",382.325,78.579,215.558,43.106,176.075,112.083,1.488,1.774,"NORMAL","0"
"ENSG00000095002","MSH2",1306.6,268.543,286.158,57.234,272.1125,94.968,10.745,4.566,"HIGH","0"
"ENSG00000096968","JAK2",169.325,34.801,413.868,82.776,422.7,90.024,-2.716,0.409,"LOW","0"
"ENSG00000097007","ABL1",481.225,98.905,806.899,161.395,766.2,250.663,-1.299,0.596,"NORMAL","0"
"ENSG00000100030","MAPK1",708.85,145.689,871.424,174.29,844.6125,148.174,-1.097,0.813,"NORMAL","0"
"ENSG00000100311","PDGFB",169.325,34.801,136.793,27.355,121.9375,73.036,0.445,1.238,"NORMAL","0"
"ENSG00000100316","RPL3",384.375,79,2229.03,445.822,2340.575,862.01,-2.14,0.172,"LOW","0"
"ENSG00000100429","HDAC10",29.875,6.14,16.751,3.35,13.2125,10.365,1.266,1.783,"NORMAL","0"
"ENSG00000100479","POLE2",56.55,11.623,16.423,3.284,13.575,8.888,4.515,3.443,"HIGH","0"
"ENSG00000100804","PSMB5",438.825,90.191,441.797,88.349,432.7375,147.407,-0.02,0.993,"NORMAL","0"
"ENSG00000101162","TUBB1",5.6,1.151,3.507,0.701,2.6375,3.266,0.641,1.597,"NORMAL","-"
"ENSG00000101213","PTK6",63.675,13.087,18.735,3.748,0,52.477,0.856,3.399,"NORMAL","0"
"ENSG00000101336","HCK",43.275,8.894,72.729,14.544,47.3375,87.263,-0.338,0.595,"NORMAL","0"
"ENSG00000101868","POLA1",84.2,17.305,140.451,28.091,136.525,50.55,-1.113,0.599,"NORMAL","0"
"ENSG00000101916","TLR8",28.975,5.955,29.002,5.801,17.3,27.676,-0.001,0.999,"NORMAL","0"
"ENSG00000102010","BMX",0.375,0.077,18.655,3.731,13.725,16.194,-1.129,0.02,"LOW","0"
